time=355000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=01 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=365000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=01 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=375000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=01 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=385000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=01 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=395000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=01 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0

TEST3: Insufficient balance to buy Thumsup
time=405000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=01 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=415000 | coin_10=1 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=01 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=425000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=01 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=435000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=445000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=455000 | coin_10=0 | coin_5=0 | cancel=0 | state=10 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=1
time=465000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=475000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=485000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=495000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=505000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=515000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=525000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=535000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=545000 | coin_10=0 | coin_5=0 | cancel=0 | state=01 | bal=10 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0
time=555000 | coin_10=0 | coin_5=0 | cancel=0 | state=00 | bal=0 | ch=0 | sel=10 | coke=0 pepsi=0 thumsup=0 | r5=0 r10=0 | insufficient=0

TEST4: Cancel and return money
